,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
669,2.0,1.0,42.0,66.0,757000000
670,3.0,3.0,110.0,60.0,1000000000
671,2.0,1.0,41.0,72.0,675000000
673,6.0,3.0,220.0,180.0,3500000000
674,4.0,2.0,104.0,98.0,990000000
675,4.0,2.0,100.0,98.0,1100000000
676,4.0,2.0,103.0,98.0,1100000000
677,3.0,1.0,190.0,190.0,1899000000
678,3.0,2.0,120.0,170.0,1250000000
679,4.0,3.0,203.0,109.0,1950000000
680,2.0,1.0,40.0,66.0,760000000
681,5.0,5.0,250.0,192.0,1650000000
682,3.0,3.0,87.0,108.0,1350000000
683,3.0,3.0,93.0,108.0,1300000000
684,4.0,2.0,100.0,98.0,1100000000
